#SampleID	Dataset	lat	long	pH	specific_location	Moisture	N	C	CN	CO2_C
CP22	Central_Park	40.76726	-73.97404	6.93	"New York, NY USA"	15.18832206	0.0579	1.567	27.06390328	0.993621008
CP595	Central_Park	40.783	-73.96538	5.71	"New York, NY USA"	12.32644091	0.1174	1.189	10.12776831	3.631279195
CP444	Central_Park	40.78342	-73.9675	5.86	"New York, NY USA"	12.17963172	0.1335	3.145	23.55805243	4.749977406
CP310	Central_Park	40.77665	-73.97514	4.75	"New York, NY USA"	8.239595051	0.1445	1.981	13.70934256	0.67868061
CP745	Central_Park	40.77404	-73.97483	5.9	"New York, NY USA"	14.48753166	0.1481	2.466	16.65091155	1.477621861
CP52	Central_Park	40.76886	-73.97427	5.87	"New York, NY USA"	10.29230498	0.1571	2.951	18.78421388	1.06154713
CP629	Central_Park	40.79943	-73.9564	6	"New York, NY USA"	12.07315331	0.1681	2.611	15.53242118	2.056290863
CP250	Central_Park	40.77766	-73.96711	6.29	"New York, NY USA"	23.25992142	0.1717	2.392	13.93127548	2.002567911
CP697	Central_Park	40.79654	-73.95966	6.34	"New York, NY USA"	14.25685336	0.1729	3.153	18.23597455	2.994709377
CP86	Central_Park	40.77186	-73.9768	6.14	"New York, NY USA"	13.5299518	0.1799	4.031	22.40689272	2.216301
CP331	Central_Park	40.77374	-73.96684	5.84	"New York, NY USA"	11.35703555	0.1834	3.371	18.38058888	1.52704454
CP18	Central_Park	40.76636	-73.97308	6.12	"New York, NY USA"	13.41010635	0.1858	3.344	17.99784715	2.28741367
CP730	Central_Park	40.79121	-73.95463	5.45	"New York, NY USA"	17.1875	0.1863	3.335	17.90123457	1.443229279
CP41	Central_Park	40.76888	-73.97558	6.55	"New York, NY USA"	17.31936018	0.1868	4.739	25.36937901	2.272484918
CP57	Central_Park	40.7697	-73.97747	6.87	"New York, NY USA"	15.71152129	0.1887	3.144	16.66136725	6.235466307
CP704	Central_Park	40.7949	-73.96011	6.18	"New York, NY USA"	11.76112745	0.1913	3.655	19.10611605	5.673392545
CP203	Central_Park	40.78178	-73.97109	6.58	"New York, NY USA"	12.33968717	0.1925	3.61	18.75324675	1.297052454
CP584	Central_Park	40.78348	-73.96674	6.11	"New York, NY USA"	17.24170729	0.193	3.097	16.04663212	1.328104484
CP34	Central_Park	40.76988	-73.98025	6.41	"New York, NY USA"	13.75987116	0.1932	4.312	22.31884058	1.689927002
CP202	Central_Park	40.78181	-73.97094	6.37	"New York, NY USA"	13.82693772	0.1971	2.966	15.04819888	1.670038811
CP280	Central_Park	40.77899	-73.97021	6.37	"New York, NY USA"	15.9044521	0.1976	3.417	17.29251012	2.646155586
CP336	Central_Park	40.77267	-73.96822	5.24	"New York, NY USA"	11.94068934	0.1983	3.533	17.81643974	7.49613352
CP724	Central_Park	40.79095	-73.9539	7.24	"New York, NY USA"	17.21056604	0.2016	3.743	18.56646825	8.116946148
CP231	Central_Park	40.7787	-73.96518	6.74	"New York, NY USA"	15.08458779	0.2028	2.977	14.67948718	7.680610341
CP725	Central_Park	40.79079	-73.95444	6.63	"New York, NY USA"	15.99669224	0.2044	3.729	18.24363992	2.732355664
CP46	Central_Park	40.76736	-73.97337	7.15	"New York, NY USA"	11.05066173	0.2063	3.423	16.59234125	1.897181007
CP277	Central_Park	40.77826	-73.96916	5.87	"New York, NY USA"	17.76631416	0.2114	3.859	18.25449385	1.45966278
CP55	Central_Park	40.76968	-73.97605	7.21	"New York, NY USA"	18.29658142	0.2116	4.519	21.3563327	1.79373283
CP253	Central_Park	40.77552	-73.96843	6.73	"New York, NY USA"	15.04575721	0.2118	3.68	17.37488196	2.14753503
CP403	Central_Park	40.78019	-73.96423	7.66	"New York, NY USA"	20.78302371	0.2124	4.006	18.8606403	1.07115848
CP723	Central_Park	40.79138	-73.95357	6.96	"New York, NY USA"	19.48188536	0.2138	3.986	18.64359214	1.393842384
CP674	Central_Park	40.79463	-73.95148	6.48	"New York, NY USA"	14.3504994	0.2155	3.3	15.31322506	2.730945458
CP127	Central_Park	40.77256	-73.97243	6.78	"New York, NY USA"	19.51942945	0.2178	3.705	17.01101928	2.162388054
CP425	Central_Park	40.78323	-73.97009	5.84	"New York, NY USA"	15.48268142	0.22	2.802	12.73636364	1.673155341
CP490	Central_Park	40.78959	-73.95641	5.58	"New York, NY USA"	17.27108255	0.223	3.587	16.08520179	3.222003364
CP229	Central_Park	40.77928	-73.9666	6.19	"New York, NY USA"	11.50315462	0.2237	4.096	18.31023692	2.260840273
CP326	Central_Park	40.77631	-73.96664	7.05	"New York, NY USA"	19.58816404	0.224	3.746	16.72321429	4.090642022
CP209	Central_Park	40.78097	-73.9699	5.81	"New York, NY USA"	12.780203	0.2263	4.633	20.47282369	2.843425498
CP675	Central_Park	40.7937	-73.95226	5.99	"New York, NY USA"	23.24662944	0.2281	4.109	18.01402893	0.918882006
CP495	Central_Park	40.79134	-73.96348	4.81	"New York, NY USA"	8.31026188	0.2295	4.284	18.66666667	2.76281972
